source,target,strength,date,type
NEWFUNDS,DISCOVERY,0.00566,2015,A
NEWFUNDS,OLD,0.00566,2015,A
NEWFUNDS,MARRIOT,0.00566,2015,A
NEWFUNDS,PIC,0.00566,2015,A
NEWFUNDS,ALLAN,0.00189,2015,A
NEWFUNDS,COMMUNITY,0.00566,2015,A
NEWFUNDS,CADIZ,0.00566,2015,A
NEWFUNDS,OASIS,0.00189,2015,A
NEWFUNDS,ABSA,0.00566,2015,A
NEWFUNDS,ASHBURTON,0.00566,2015,A
NEWFUNDS,MOMENTUM,0.00566,2015,A
NEWFUNDS,PRIME,0.00566,2015,A
NEWFUNDS,CARTESIAN,0.00189,2015,A
NEWFUNDS,GLACIER,0.00566,2015,A
NEWFUNDS,COLOURFIELD,0.00566,2015,A
NEWFUNDS,PRESCIENT,0.00566,2015,A
NEWFUNDS,HOLLARD,0.00566,2015,A
NEWFUNDS,CITADEL,0.00566,2015,A
NEWFUNDS,PRUDENTIAL,0.00566,2015,A
NEWFUNDS,CORONATION,0.00566,2015,A
NEWFUNDS,PSG,0.00566,2015,A
NEWFUNDS,US,0.00377,2015,A
NEWFUNDS,INVESTEC,0.00377,2015,A
NEWFUNDS,NEDBANK,0.00566,2015,A
PIC,BCI,0.00943,2015,A
PIC,STANLIB,0.00943,2015,A
PIC,RECM,0.00755,2015,A
PIC,EFFICIENT,0.00566,2015,A
PIC,SIM,0.00943,2015,A
PIC,GRYPHON,0.00755,2015,A
PIC,TRUFFLE,0.00566,2015,A
PIC,SELECT,0.00755,2015,A
PIC,DISCOVERY,0.00755,2015,A
PIC,OLD,0.00943,2015,A
PIC,MARRIOT,0.00943,2015,A
PIC,NEWFUNDS,0.00566,2015,A
PIC,ALLAN,0.00566,2015,A
PIC,COMMUNITY,0.00755,2015,A
PIC,CADIZ,0.00943,2015,A
PIC,OASIS,0.00377,2015,A
PIC,ABSA,0.00755,2015,A
PIC,ASHBURTON,0.00943,2015,A
PIC,MOMENTUM,0.00943,2015,A
PIC,PRIME,0.00755,2015,A
PIC,CARTESIAN,0.00189,2015,A
PIC,GLACIER,0.00755,2015,A
PIC,COLOURFIELD,0.00755,2015,A
PIC,PRESCIENT,0.00943,2015,A
PIC,HOLLARD,0.00943,2015,A
PIC,CITADEL,0.00943,2015,A
PIC,PRUDENTIAL,0.00943,2015,A
PIC,CORONATION,0.00943,2015,A
PIC,PSG,0.00943,2015,A
PIC,US,0.00377,2015,A
PIC,INVESTEC,0.00566,2015,A
PIC,NEDBANK,0.00943,2015,A
ALLAN,BCI,0.00566,2015,A
ALLAN,STANLIB,0.00755,2015,A
ALLAN,RECM,0.00755,2015,A
ALLAN,EFFICIENT,0.00755,2015,A
ALLAN,SIM,0.00566,2015,A
ALLAN,GRYPHON,0.00377,2015,A
ALLAN,TRUFFLE,0.00566,2015,A
ALLAN,SELECT,0.00566,2015,A
ALLAN,DISCOVERY,0.00566,2015,A
ALLAN,OLD,0.00755,2015,A
ALLAN,MARRIOT,0.00566,2015,A
ALLAN,NEWFUNDS,0.00189,2015,A
ALLAN,PIC,0.00566,2015,A
ALLAN,COMMUNITY,0.00377,2015,A
ALLAN,CADIZ,0.00566,2015,A
ALLAN,OASIS,0.00189,2015,A
ALLAN,ABSA,0.00377,2015,A
ALLAN,ASHBURTON,0.00755,2015,A
ALLAN,MOMENTUM,0.00566,2015,A
ALLAN,PRIME,0.00377,2015,A
ALLAN,CARTESIAN,0.00377,2015,A
ALLAN,GLACIER,0.00377,2015,A
ALLAN,COLOURFIELD,0.00377,2015,A
ALLAN,PRESCIENT,0.00566,2015,A
ALLAN,HOLLARD,0.00566,2015,A
ALLAN,CITADEL,0.00566,2015,A
ALLAN,PRUDENTIAL,0.00566,2015,A
ALLAN,CORONATION,0.00566,2015,A
ALLAN,PSG,0.00566,2015,A
ALLAN,US,0.00189,2015,A
ALLAN,INVESTEC,0.00566,2015,A
ALLAN,NEDBANK,0.00566,2015,A
COMMUNITY,BCI,0.00943,2015,A
COMMUNITY,STANLIB,0.00755,2015,A
COMMUNITY,RECM,0.00566,2015,A
COMMUNITY,EFFICIENT,0.00377,2015,A
COMMUNITY,SIM,0.00755,2015,A
COMMUNITY,GRYPHON,0.00566,2015,A
COMMUNITY,TRUFFLE,0.00566,2015,A
COMMUNITY,SELECT,0.00566,2015,A
COMMUNITY,DISCOVERY,0.01132,2015,A
COMMUNITY,OLD,0.04528,2015,A
COMMUNITY,MARRIOT,0.00755,2015,A
COMMUNITY,NEWFUNDS,0.00566,2015,A
COMMUNITY,PIC,0.00755,2015,A
COMMUNITY,ALLAN,0.00377,2015,A
COMMUNITY,CADIZ,0.01132,2015,A
COMMUNITY,OASIS,0.00377,2015,A
COMMUNITY,ABSA,0.00566,2015,A
COMMUNITY,ASHBURTON,0.00755,2015,A
COMMUNITY,MOMENTUM,0.00755,2015,A
COMMUNITY,PRIME,0.00755,2015,A
COMMUNITY,CARTESIAN,0.00189,2015,A
COMMUNITY,GLACIER,0.00755,2015,A
COMMUNITY,COLOURFIELD,0.00755,2015,A
COMMUNITY,PRESCIENT,0.00755,2015,A
COMMUNITY,HOLLARD,0.00755,2015,A
COMMUNITY,CITADEL,0.00755,2015,A
COMMUNITY,PRUDENTIAL,0.00755,2015,A
COMMUNITY,CORONATION,0.00755,2015,A
COMMUNITY,PSG,0.00943,2015,A
COMMUNITY,US,0.00377,2015,A
COMMUNITY,INVESTEC,0.00943,2015,A
COMMUNITY,NEDBANK,0.00755,2015,A
CADIZ,BCI,0.01132,2015,A
CADIZ,STANLIB,0.01132,2015,A
CADIZ,RECM,0.00755,2015,A
CADIZ,EFFICIENT,0.00566,2015,A
CADIZ,SIM,0.01132,2015,A
CADIZ,GRYPHON,0.00755,2015,A
CADIZ,TRUFFLE,0.00566,2015,A
CADIZ,SELECT,0.01887,2015,A
CADIZ,DISCOVERY,0.00943,2015,A
CADIZ,OLD,0.01887,2015,A
CADIZ,MARRIOT,0.00943,2015,A
CADIZ,NEWFUNDS,0.00566,2015,A
CADIZ,PIC,0.00943,2015,A
CADIZ,ALLAN,0.00566,2015,A
CADIZ,COMMUNITY,0.01132,2015,A
CADIZ,OASIS,0.00377,2015,A
CADIZ,ABSA,0.00755,2015,A
CADIZ,ASHBURTON,0.00943,2015,A
CADIZ,MOMENTUM,0.01887,2015,A
CADIZ,PRIME,0.00755,2015,A
CADIZ,CARTESIAN,0.00189,2015,A
CADIZ,GLACIER,0.00943,2015,A
CADIZ,COLOURFIELD,0.00755,2015,A
CADIZ,PRESCIENT,0.01132,2015,A
CADIZ,HOLLARD,0.01132,2015,A
CADIZ,CITADEL,0.00943,2015,A
CADIZ,PRUDENTIAL,0.00943,2015,A
CADIZ,CORONATION,0.00943,2015,A
CADIZ,PSG,0.01509,2015,A
CADIZ,US,0.00377,2015,A
CADIZ,INVESTEC,0.00755,2015,A
CADIZ,NEDBANK,0.00943,2015,A
OASIS,BCI,0.00377,2015,A
OASIS,STANLIB,0.00566,2015,A
OASIS,RECM,0.00377,2015,A
OASIS,EFFICIENT,0.00189,2015,A
OASIS,SIM,0.00566,2015,A
OASIS,GRYPHON,0.00189,2015,A
OASIS,TRUFFLE,0.00377,2015,A
OASIS,SELECT,0.00377,2015,A
OASIS,DISCOVERY,0.00566,2015,A
OASIS,OLD,0.00566,2015,A
OASIS,MARRIOT,0.00377,2015,A
OASIS,NEWFUNDS,0.00189,2015,A
OASIS,PIC,0.00377,2015,A
OASIS,ALLAN,0.00189,2015,A
OASIS,COMMUNITY,0.00377,2015,A
OASIS,CADIZ,0.00377,2015,A
OASIS,ABSA,0.00377,2015,A
OASIS,ASHBURTON,0.00377,2015,A
OASIS,MOMENTUM,0.00566,2015,A
OASIS,PRIME,0.00566,2015,A
OASIS,GLACIER,0.00566,2015,A
OASIS,COLOURFIELD,0.00377,2015,A
OASIS,PRESCIENT,0.00566,2015,A
OASIS,HOLLARD,0.00566,2015,A
OASIS,CITADEL,0.00377,2015,A
OASIS,PRUDENTIAL,0.00566,2015,A
OASIS,CORONATION,0.00566,2015,A
OASIS,INV,0.00189,2015,A
OASIS,PSG,0.00566,2015,A
OASIS,US,0.00377,2015,A
OASIS,INVESTEC,0.00566,2015,A
OASIS,NEDBANK,0.00566,2015,A
ABSA,BCI,0.00755,2015,A
ABSA,STANLIB,0.00943,2015,A
ABSA,RECM,0.00566,2015,A
ABSA,EFFICIENT,0.00377,2015,A
ABSA,SIM,0.00943,2015,A
ABSA,GRYPHON,0.00755,2015,A
ABSA,TRUFFLE,0.00377,2015,A
ABSA,SELECT,0.00566,2015,A
ABSA,DISCOVERY,0.00755,2015,A
ABSA,OLD,0.00943,2015,A
ABSA,MARRIOT,0.00755,2015,A
ABSA,NEWFUNDS,0.00566,2015,A
ABSA,PIC,0.00755,2015,A
ABSA,ALLAN,0.00377,2015,A
ABSA,COMMUNITY,0.00566,2015,A
ABSA,CADIZ,0.00755,2015,A
ABSA,OASIS,0.00377,2015,A
ABSA,ASHBURTON,0.00755,2015,A
ABSA,MOMENTUM,0.00943,2015,A
ABSA,PRIME,0.00566,2015,A
ABSA,CARTESIAN,0.00189,2015,A
ABSA,GLACIER,0.00755,2015,A
ABSA,COLOURFIELD,0.00566,2015,A
ABSA,PRESCIENT,0.00943,2015,A
ABSA,HOLLARD,0.00943,2015,A
ABSA,CITADEL,0.00755,2015,A
ABSA,PRUDENTIAL,0.00755,2015,A
ABSA,CORONATION,0.00943,2015,A
ABSA,PSG,0.00755,2015,A
ABSA,US,0.00566,2015,A
ABSA,INVESTEC,0.00566,2015,A
ABSA,NEDBANK,0.00755,2015,A
ASHBURTON,BCI,0.00943,2015,A
ASHBURTON,STANLIB,0.01132,2015,A
ASHBURTON,RECM,0.00943,2015,A
ASHBURTON,EFFICIENT,0.00755,2015,A
ASHBURTON,SIM,0.00943,2015,A
ASHBURTON,GRYPHON,0.00755,2015,A
ASHBURTON,TRUFFLE,0.00755,2015,A
ASHBURTON,SELECT,0.00755,2015,A
ASHBURTON,DISCOVERY,0.00943,2015,A
ASHBURTON,OLD,0.00943,2015,A
ASHBURTON,MARRIOT,0.00943,2015,A
ASHBURTON,NEWFUNDS,0.00566,2015,A
ASHBURTON,PIC,0.00943,2015,A
ASHBURTON,ALLAN,0.00755,2015,A
ASHBURTON,COMMUNITY,0.00755,2015,A
ASHBURTON,CADIZ,0.00943,2015,A
ASHBURTON,OASIS,0.00377,2015,A
ASHBURTON,ABSA,0.00755,2015,A
ASHBURTON,MOMENTUM,0.00943,2015,A
ASHBURTON,PRIME,0.00755,2015,A
ASHBURTON,CARTESIAN,0.00377,2015,A
ASHBURTON,GLACIER,0.00755,2015,A
ASHBURTON,COLOURFIELD,0.00755,2015,A
ASHBURTON,PRESCIENT,0.00943,2015,A
ASHBURTON,HOLLARD,0.00943,2015,A
ASHBURTON,CITADEL,0.00943,2015,A
ASHBURTON,PRUDENTIAL,0.00943,2015,A
ASHBURTON,CORONATION,0.00943,2015,A
